theta,mean_relative_force,stddev_relative_force,median_relative_force,lower_25_relative_force,upper_75_relative_forcemean_time_mus,stddev_time_ns,median_time_ns,lower_25_time_ns,upper_75_time_ns
0,1,0,1,1,1,1.50159e+06,238239,1.44509e+06,1.33774e+06,1.5865e+06
0.003,1,3.21523e-07,1,1,1,1.34916e+06,173798,1.33806e+06,1.24151e+06,1.38922e+06
0.006,1,5.88659e-07,1,1,1,1.29821e+06,154314,1.29303e+06,1.20573e+06,1.33407e+06
0.009,1,8.85065e-07,1,1,1,1.23343e+06,130273,1.21979e+06,1.14935e+06,1.28172e+06
0.012,1,1.25955e-06,1,0.999999,1,1.16405e+06,151398,1.14046e+06,1.07427e+06,1.2162e+06
0.015,1,2.0898e-06,1,0.999999,1,1.08765e+06,140338,1.06832e+06,1.00138e+06,1.14466e+06
0.018,1,2.86011e-06,0.999999,0.999998,1,1.00251e+06,138850,989636,921631,1.07303e+06
0.021,1,4.4544e-06,0.999999,0.999997,1,906338,141807,897984,814155,983451
0.024,1,6.76991e-06,0.999998,0.999995,1,829656,145960,812447,734334,906944
0.027,0.999999,9.71237e-06,0.999997,0.999993,1,763086,132569,750292,672197,837414
0.03,0.999998,1.28952e-05,0.999997,0.999991,1,707545,156226,696844,622272,772210
0.033,0.999996,1.655e-05,0.999995,0.999988,1,649372,117031,643837,567064,719288
0.036,0.999994,2.23176e-05,0.999994,0.999984,1,603860,125041,597991,521159,674424
0.039,0.999991,2.93633e-05,0.999992,0.99998,1,556787,115416,555082,475390,627790
0.042,0.999988,3.50411e-05,0.999991,0.999975,1,513563,111545,509324,435152,580990
0.045,0.999985,4.16035e-05,0.999988,0.999969,1,476753,106721,471603,402419,541775
0.048,0.999981,5.10601e-05,0.999986,0.999962,1,449100,216961,439503,373365,506954
0.051,0.999976,6.16057e-05,0.999983,0.999956,1,414782,94793,407998,348809,474365
0.054,0.999973,7.00576e-05,0.99998,0.999949,1,388937,87670.2,383906,326571,445608
0.057,0.999969,8.21612e-05,0.999977,0.999942,1,365067,81859.4,361642,305800,416729
0.06,0.999965,9.40342e-05,0.999974,0.999933,1,342403,72182.1,342272,290470,391886
0.063,0.99996,0.000103626,0.99997,0.999925,1,321753,65572.5,322672,274250,369262
0.066,0.999957,0.000114696,0.999968,0.999916,1,306645,70162.9,306948,257159,350532
0.069,0.999953,0.000141515,0.999963,0.999903,1,288938,62085.2,291622,241850,331636
0.072,0.999948,0.000161065,0.99996,0.999894,1,275074,62984,276801,227439,315509
0.075,0.999943,0.000172734,0.999955,0.99988,1,259680,58461.4,261465,215618,298759
0.078,0.999936,0.000186899,0.999952,0.999868,1,246665,56095.2,246886,204270,284616
0.081,0.999929,0.000205211,0.999948,0.999855,1.00001,235792,54888.7,237446,195377,271712
0.084,0.999923,0.000218532,0.999941,0.999842,1.00001,223323,51396.2,224695,184212,258555
0.087,0.999916,0.000242813,0.999938,0.999827,1.00001,214513,51746.8,214802,175942,247503
0.09,0.999907,0.000266476,0.999932,0.99981,1.00001,204277,49114,205210,167563,236519
0.093,0.999898,0.000285175,0.999928,0.999794,1.00001,193377,44195,194031,159735,224537
0.096,0.99989,0.000312377,0.999919,0.999773,1.00001,185923,44662.4,186827,152097,215367
0.099,0.999877,0.000330361,0.999912,0.999746,1.00001,179521,43492.7,181054,147066,207229
0.102,0.999868,0.000362595,0.999905,0.999736,1.00001,171688,43485.5,172025,140648,198062
0.105,0.999859,0.000376107,0.999905,0.999705,1.00001,162958,37475.2,164403,134142,189062
0.108,0.999846,0.000392521,0.999894,0.99968,1.00001,156593,36568.2,158062,129314,180892
0.111,0.999836,0.000431327,0.999881,0.999669,1.00001,150486,34863.1,152534,124046,173941
0.114,0.999824,0.000435256,0.999876,0.999651,1.00001,145322,35171.2,146506,120165,166293
0.117,0.999814,0.000455079,0.999864,0.999636,1.00001,140070,33500.7,141468,115314,160826
0.12,0.999799,0.00048811,0.999861,0.999606,1.00001,135284,32763.2,136755,111480,154820
0.123,0.999791,0.000503601,0.99986,0.999587,1.00001,131250,33736.4,132272,107811,149349
0.126,0.999779,0.000528439,0.999847,0.999563,1.00001,125602,29448.1,127453,104267,143459
0.129,0.999767,0.000676247,0.999834,0.999534,1.00001,121311,28048.4,123537,100975,138475
0.132,0.999738,0.000860108,0.999826,0.999513,1.00001,117484,28404.3,119541,97512,133793
0.135,0.999726,0.000842907,0.99982,0.999486,1.00001,113990,27405.2,116067,94720,130181
0.138,0.999716,0.000854303,0.999805,0.999458,1.00001,109866,25932.3,111903,92060,125157
0.141,0.999693,0.000883982,0.999806,0.999428,1.00001,106269,28399.5,107994,88833,120402
0.144,0.999673,0.000913157,0.999795,0.999394,1.00001,102967,25399.4,104908,86083,116988
0.147,0.999659,0.00093296,0.999773,0.999354,1.00001,99465.7,23476.6,101879,83183,112894
0.15,0.999644,0.000958366,0.999762,0.999336,1.00001,96463.8,21922.9,99181,81103,109562
0.153,0.999634,0.000965429,0.999751,0.999304,1.00001,94285.2,22784.9,96436,78490,107162
0.156,0.999618,0.000991667,0.99975,0.999279,1.00001,90969.7,21143.4,92894,76259,103379
0.159,0.999596,0.00111051,0.999737,0.999244,1.00001,88816.4,21734.3,90384,74646,100941
0.162,0.999575,0.00117036,0.999725,0.999217,1.00002,85890.7,21580.9,87503,71943,97281
0.165,0.999556,0.00130455,0.999714,0.999177,1.00002,82972.4,17899.6,85148,70133,94581
0.168,0.999541,0.00134618,0.999706,0.999163,1.00003,81354.5,18631.4,82814,68715,92307
0.171,0.999513,0.00141152,0.999686,0.999125,1.00002,79578.9,19454.9,80875,66969,89675
0.174,0.999504,0.00148237,0.999682,0.999104,1.00002,76808.2,17650.2,78432,64829,87204
0.177,0.999479,0.00154025,0.999666,0.999049,1.00004,75515.5,18450.6,76710,63057,85159
0.18,0.999458,0.00157119,0.999646,0.998987,1.00004,74024.9,18813.9,74708,61820,83658
0.183,0.999428,0.00159961,0.999645,0.998935,1.00003,71783.4,16884.3,73205,60634,81310
0.186,0.999409,0.00164031,0.999631,0.998895,1.00003,69937.4,17343.3,71058,59052,78908
0.189,0.999392,0.00162564,0.999625,0.998859,1.00003,68555.4,18537.9,69215,57713,76998
0.192,0.999371,0.00166502,0.99961,0.998817,1.00003,67026.5,17296.4,67990,56455,75235
0.195,0.99936,0.00174592,0.999607,0.998803,1.00003,65674.5,17303,66315,55261,73530
0.198,0.999334,0.00170719,0.999585,0.998758,1.00004,63659.5,15723.5,64690,54034,71682
0.201,0.999298,0.00180544,0.999577,0.998725,1.00003,62466,16295.5,63046,52746,70050
0.204,0.999273,0.00188342,0.999557,0.998649,1.00004,60220.4,13378.4,61686,51480,68024
0.207,0.999252,0.0019222,0.999542,0.998647,1.00004,58978.7,13077.2,60225,50582,66712
0.21,0.999224,0.00197497,0.999518,0.998591,1.00004,57804.5,13062.6,59010,49613,65203
0.213,0.999167,0.00250641,0.999509,0.998543,1.00004,56760.1,13698.8,57758,48753,63726
0.216,0.999134,0.00256653,0.999499,0.99848,1.00004,55577,13046.8,56533,47598,62181
0.219,0.999117,0.00259496,0.999475,0.99845,1.00005,54290,12411.4,55372,46823,61178
0.222,0.999093,0.00262974,0.999454,0.998362,1.00006,53540.6,13291.1,54216,46027,59895
0.225,0.999068,0.00266145,0.999438,0.998314,1.00004,52218.7,12101.9,53199,45062,58711
0.228,0.999069,0.00235779,0.999418,0.998287,1.00004,51651.9,16434.1,52297,43924,57341
0.231,0.999055,0.00233567,0.999378,0.998205,1.00004,50416.6,12672.7,51118,43362,56428
0.234,0.999019,0.00240503,0.999368,0.998173,1.00005,48953,11077.3,50059,42656,55080
0.237,0.999028,0.00238053,0.999342,0.998133,1.00006,48223.9,11482.4,49112,41657,53979
0.24,0.998988,0.00260609,0.999322,0.998074,1.00006,47487.5,11554.1,48326,40906,52994
0.243,0.998948,0.00262554,0.999335,0.997983,1.00006,46081.2,9723.36,47400,40020,51814
0.246,0.998928,0.00272659,0.999302,0.997959,1.00007,45365.3,11140.4,46355,39336,50941
0.249,0.998919,0.00287007,0.999285,0.997894,1.00008,44488.5,9757.26,45630,38639,49916
0.252,0.998884,0.00301669,0.999267,0.997859,1.00008,43890,11073.3,44741,37933,48977
0.255,0.998828,0.00317378,0.999214,0.997796,1.00007,42534.9,8693.5,43740,37178,47991
0.258,0.998807,0.0031977,0.999209,0.997786,1.00008,42075.9,9232.58,43082,36433,47206
0.261,0.998737,0.00327641,0.999205,0.997718,1.00006,41381.5,9276.95,42319,35794,46510
0.264,0.99869,0.00336096,0.999163,0.997595,1.00008,40791.5,9516.27,41672,35331,45650
0.267,0.998665,0.0034774,0.999178,0.997488,1.00007,40633.6,12550.7,41059,34702,44888
0.27,0.99865,0.00358764,0.999127,0.997468,1.00007,39798.9,10622,40362,34197,44060
0.273,0.99863,0.00367833,0.999167,0.997411,1.00011,38871.8,9469.49,39605,33639,43246
0.276,0.998588,0.00374852,0.999155,0.997387,1.00009,38435.2,11082.5,38963,33114,42597
0.279,0.998527,0.00388498,0.999132,0.997329,1.0001,37384.5,8713.81,38351,32361,41894
0.282,0.998484,0.00406728,0.999101,0.997221,1.00011,36988.1,9564.01,37794,32110,41217
0.285,0.998448,0.00415551,0.999112,0.997143,1.00009,36200.2,8777.41,37093,31613,40526
0.288,0.998418,0.00445058,0.999048,0.997094,1.0001,35506.5,8300.38,36545,31083,39721
0.291,0.998385,0.00451104,0.999035,0.996996,1.00009,35126,8787.51,35894,30510,39211
0.294,0.998377,0.00457328,0.999028,0.996994,1.00011,35302.6,18556.8,35411,30181,38687
0.297,0.998377,0.00457681,0.999069,0.996906,1.00012,34112.8,9254.99,34868,29547,38106
0.3,0.998379,0.00470698,0.999052,0.996789,1.00019,33429.8,8439.96,34263,29105,37295
0.303,0.998324,0.00486098,0.999048,0.99672,1.00019,33172.8,9796.62,33688,28712,36826
0.306,0.998329,0.00492287,0.99903,0.996706,1.00021,32294.4,7426.34,33174,28206,36293
0.309,0.998297,0.00494388,0.99901,0.996591,1.00021,32108.8,8259.92,32782,27773,35791
0.312,0.998242,0.00512713,0.999014,0.996541,1.00021,38931.3,230040,32322,27275,35198
0.315,0.998216,0.00516475,0.998955,0.996425,1.00024,31231.2,9139.2,31743,26700,34586
0.318,0.99818,0.00517324,0.99897,0.996439,1.00023,30905.6,9869.06,31274,26189,34120
0.321,0.99813,0.00536311,0.998891,0.99637,1.00026,30254.8,8292.88,30724,25956,33520
0.324,0.998161,0.00633973,0.998838,0.99626,1.00023,29597,7128.63,30323,25670,33032
0.327,0.998129,0.00645006,0.998904,0.996211,1.00025,29170,7020.47,29894,25404,32666
0.33,0.998057,0.00653862,0.998839,0.996083,1.00033,28794,7267.91,29328,24751,32161
0.333,0.998066,0.00688675,0.998879,0.996001,1.00035,28381.5,7198.86,29016,24421,31744
0.336,0.99802,0.00702379,0.998747,0.995997,1.00033,28038.1,7551.09,28525,24139,31204
0.339,0.99799,0.00729677,0.998752,0.995925,1.0003,27755.7,7730.31,28138,23929,30804
0.342,0.997952,0.00740766,0.998753,0.995892,1.00035,38869.8,359786,27807,23573,30503
0.345,0.997878,0.00782067,0.998693,0.995724,1.00034,26962,7401.38,27359,23259,29962
0.348,0.997832,0.00818276,0.998722,0.995623,1.00034,26603.4,6952.56,26954,23023,29589
0.351,0.997779,0.00874908,0.998733,0.995515,1.00033,26233.2,7077.95,26635,22795,29145
0.354,0.997724,0.00877586,0.998718,0.995361,1.00035,26181.7,12851.7,26306,22414,28778
0.357,0.997728,0.00887314,0.998711,0.995391,1.00035,25623.8,7182.91,25971,22114,28470
0.36,0.997654,0.0094241,0.99869,0.995372,1.00031,24945,5609.89,25553,21752,27910
0.363,0.997597,0.0094295,0.998628,0.99523,1.00034,24858.3,6721.03,25169,21519,27604
0.366,0.997531,0.0093506,0.998571,0.99516,1.00028,24306.7,5502.42,24822,21142,27178
0.369,0.997555,0.00933638,0.998545,0.995017,1.0003,24110.3,6387.78,24630,21005,26821
0.372,0.997467,0.0096127,0.998548,0.994924,1.00026,24052.5,7088,24200,20795,26537
0.375,0.997466,0.00976929,0.998714,0.994863,1.00033,23508,5758.66,23977,20560,26187
0.378,0.997402,0.00975661,0.998581,0.994786,1.00033,23339.8,6588.44,23695,20429,25928
0.381,0.997412,0.00968317,0.998577,0.994742,1.00033,22829.6,5443.64,23423,20113,25452
0.384,0.997368,0.00988115,0.998565,0.99466,1.00037,22821.4,6186,23069,19874,25120
0.387,0.997128,0.0128305,0.998495,0.994478,1.00037,22401.8,6105.25,22812,19573,24876
0.39,0.997045,0.0129594,0.998424,0.99437,1.00035,22368,7122.4,22532,19422,24519
0.393,0.996938,0.0132835,0.998406,0.99436,1.00037,21756.5,5338.47,22254,19101,24207
0.396,0.996867,0.0133198,0.998382,0.994151,1.00041,21665.4,5841.59,21911,19024,23964
0.399,0.996787,0.0136128,0.998348,0.99388,1.00041,21231.8,4917.73,21621,18899,23590
0.402,0.996737,0.0139226,0.998257,0.99386,1.00046,21124.6,5658.04,21358,18590,23381
0.405,0.99668,0.0147018,0.998226,0.99367,1.0005,20992,6084.66,21131,18363,23156
0.408,0.996631,0.0148718,0.998209,0.993544,1.00045,20562.8,5374.41,20873,18080,22750
0.411,0.996625,0.013874,0.99818,0.993465,1.00057,20316.3,5074.32,20600,17924,22509
0.414,0.996603,0.0133989,0.998171,0.993344,1.00054,20185.3,5838.74,20354,17749,22263
0.417,0.99662,0.0130616,0.998214,0.993123,1.00062,20027.6,6381.53,20116,17575,21950
0.42,0.996503,0.0139615,0.998162,0.99311,1.00058,19733,5644.8,19918,17373,21664
0.423,0.996476,0.0139402,0.998016,0.99287,1.0005,19328.2,5168,19679,17048,21431
0.426,0.996379,0.0141052,0.997921,0.992932,1.00049,19193,5078.32,19468,16829,21209
0.429,0.996309,0.0143447,0.997841,0.99276,1.00058,19079.8,5942.87,19231,16709,20945
0.432,0.996275,0.014429,0.997811,0.992558,1.00058,18702.8,5047.05,19084,16498,20648
0.435,0.996271,0.0145066,0.997758,0.992822,1.00057,18457.4,4482.41,18869,16398,20488
0.438,0.996238,0.0145336,0.997758,0.992569,1.00062,18524.2,6355.97,18653,16299,20281
0.441,0.996043,0.0149099,0.997748,0.992377,1.00066,18139.3,4810.89,18505,16039,20055
0.444,0.995924,0.0142692,0.99764,0.992309,1.00066,17939.9,4848.45,18261,15928,19837
0.447,0.995844,0.0147238,0.997705,0.992128,1.00056,17847.2,5988.39,18074,15630,19615
0.45,0.995756,0.0145758,0.997589,0.992027,1.0006,17475.7,4257.41,17900,15523,19355
0.453,0.995669,0.014752,0.997556,0.991818,1.00059,17195.9,3822.66,17718,15429,19130
0.456,0.995604,0.0150238,0.997604,0.991661,1.0007,17168.3,5034.61,17539,15210,18898
0.459,0.995507,0.0151165,0.997474,0.99163,1.0007,17196.7,6976.16,17286,14969,18750
0.462,0.995435,0.014503,0.997547,0.9915,1.00072,16733.6,4300.24,17051,14860,18560
0.465,0.995395,0.0153731,0.997488,0.99131,1.00082,16588.3,4921.17,16896,14663,18392
0.468,0.995128,0.0161548,0.997401,0.991133,1.00081,16344.7,4363.94,16696,14458,18190
0.471,0.995163,0.0172194,0.997401,0.991133,1.00081,16154.4,4236.05,16526,14390,17995
0.474,0.995008,0.0171815,0.997284,0.990955,1.00069,16115.7,5488.94,16347,14256,17805
0.477,0.994856,0.0176107,0.997182,0.990721,1.00066,16020.5,5110.29,16098,14053,17681
0.48,0.994768,0.0175694,0.997139,0.990312,1.00069,15725,4794.17,15945,13960,17467
0.483,0.99469,0.0178103,0.996963,0.990009,1.00064,15574.4,4264.57,15779,13752,17250
0.486,0.994684,0.0183479,0.996845,0.989687,1.00071,15433.5,4341.47,15597,13644,17120
0.489,0.994755,0.0189025,0.997017,0.98978,1.0007,15093.2,2951.04,15483,13461,16931
0.492,0.994708,0.0192012,0.996952,0.989826,1.0007,15331.8,4665.97,15342,13397,16840
0.495,0.994706,0.0189975,0.996889,0.98978,1.00069,15028.4,4565.15,15152,13167,16621
0.498,0.994587,0.0189835,0.996889,0.989739,1.00071,14848.8,4024.73,15004,13066,16460
0.501,0.994465,0.0189077,0.996889,0.98946,1.00067,15017.3,6115.92,14839,12918,16363
0.504,0.994501,0.0188654,0.996921,0.98939,1.00066,14440.6,3032.03,14726,12816,16185
0.507,0.994507,0.019039,0.996922,0.98939,1.00072,14553.7,4510.55,14602,12734,16048
0.51,0.994331,0.0196785,0.996905,0.989362,1.00076,14584.9,6201.9,14501,12623,15884
0.513,0.994312,0.0197402,0.996863,0.989209,1.00075,14052.6,2956.59,14334,12518,15681
0.516,0.994233,0.0198712,0.996785,0.989245,1.0008,14026.7,3551.66,14195,12375,15544
0.519,0.994117,0.0202658,0.996839,0.989129,1.00068,13881,3418.84,14061,12297,15356
0.522,0.994026,0.0203639,0.99677,0.989202,1.00078,13800.8,4149.07,13903,12197,15214
0.525,0.994082,0.0204906,0.996936,0.989084,1.00073,13849.3,5160.93,13781,12080,15047
0.528,0.994072,0.0208552,0.996901,0.989129,1.00076,13549.5,4000.21,13626,12014,14939
0.531,0.993855,0.0209122,0.997019,0.988838,1.00082,13325.5,2827.69,13562,11937,14786
0.534,0.993633,0.0214718,0.997014,0.988124,1.00081,13614.3,5556.91,13435,11817,14689
0.537,0.993324,0.0219974,0.996904,0.988013,1.00086,13142.5,3437.93,13274,11683,14508
0.54,0.993191,0.0220247,0.996791,0.987854,1.00085,12982.2,3327.56,13147,11598,14381
0.543,0.993129,0.0221055,0.996626,0.987782,1.00089,12877.2,3483.5,13058,11507,14211
0.546,0.99309,0.0230326,0.996573,0.987613,1.00089,12746.3,3232.09,12909,11375,14113
0.549,0.993045,0.0234467,0.996697,0.987967,1.00085,12647.9,3099.34,12799,11192,13968
0.552,0.992974,0.0237639,0.99655,0.987655,1.00096,12500.5,2858.69,12676,11109,13823
0.555,0.992856,0.023971,0.99655,0.987555,1.00085,12500.6,4041.82,12500,11065,13770
0.558,0.992642,0.0238693,0.996342,0.987478,1.00089,12340.6,3096.86,12400,10981,13632
0.561,0.992581,0.0241148,0.996279,0.987127,1.00091,12376,3831.88,12323,10909,13489
0.564,0.992516,0.0241037,0.996185,0.987022,1.00089,12082.7,2887.49,12206,10727,13376
0.567,0.992434,0.0241316,0.996192,0.986765,1.0009,12474.2,11557.8,12145,10646,13272
0.57,0.992222,0.0246939,0.99602,0.986684,1.00091,11960.9,3370.89,12014,10548,13173
0.573,0.992132,0.0255152,0.99602,0.986551,1.00104,11818.8,3265.13,11922,10467,13055
0.576,0.992122,0.0257124,0.99602,0.986117,1.00098,11808.6,3493.88,11826,10328,12941
0.579,0.991983,0.0258735,0.995946,0.985867,1.00101,11777.4,3892.57,11725,10317,12836
0.582,0.991865,0.0263591,0.99594,0.98595,1.00111,11843.7,5126.65,11622,10216,12699
0.585,0.99169,0.0263692,0.99591,0.985894,1.00111,11645,4290.73,11537,10127,12628
0.588,0.991546,0.026162,0.995723,0.985276,1.00111,11434.7,3332.6,11488,10103,12534
0.591,0.991401,0.0263726,0.995634,0.985207,1.00098,11335.6,3600.17,11353,10019,12454
0.594,0.991159,0.0268594,0.995506,0.985042,1.0009,11351.1,4899.96,11232,9949,12314
0.597,0.991175,0.027149,0.995326,0.984813,1.00093,11054.2,3254.88,11170,9852,12179
0.6,0.991146,0.0273708,0.995221,0.984683,1.00081,11028.3,3269.92,11083,9815,12082
0.603,0.991125,0.0279561,0.995335,0.984114,1.00107,10936.5,2969.87,11009,9754,11993
0.606,0.991147,0.0281689,0.995329,0.984219,1.00093,10749.2,2479.71,10917,9666,11883
0.609,0.991205,0.0279631,0.99528,0.984055,1.00097,10693.6,2745.61,10887,9542,11757
0.612,0.991143,0.028039,0.995234,0.984055,1.00093,10659.8,2966.6,10756,9539,11661
0.615,0.99114,0.0282302,0.99518,0.983651,1.00124,10587.4,3270.93,10653,9444,11565
0.618,0.991131,0.0282189,0.995302,0.983616,1.0012,10552.4,3194.97,10591,9342,11490
0.621,0.990995,0.0293597,0.99518,0.983285,1.00139,10524.2,3985.9,10526,9278,11422
0.624,0.990933,0.029679,0.995452,0.983153,1.0015,10578.6,9370.83,10439,9211,11321
0.627,0.990767,0.0299832,0.995319,0.982821,1.00156,10319.9,3727.65,10345,9172,11233
0.63,0.990775,0.0309869,0.995319,0.982831,1.00158,10366.2,3750.63,10260,9111,11182
0.633,0.990773,0.0310116,0.995559,0.982758,1.00166,10059,2435.49,10180,9082,11053
0.636,0.990612,0.0308707,0.995558,0.982587,1.00155,10103.3,3500.89,10109,9009,10973
0.639,0.990507,0.0312472,0.995255,0.982672,1.00156,9964.73,3134.05,10022,8934,10911
0.642,0.990404,0.0310847,0.995039,0.982411,1.00157,10013.8,3863.49,9980,8892,10847
0.645,0.990274,0.0312974,0.994835,0.982415,1.00156,9840.37,3133.04,9892,8822,10742
0.648,0.989944,0.0320441,0.995039,0.982255,1.00166,9882.76,4463.93,9845,8714,10686
0.651,0.989733,0.0324309,0.995019,0.98207,1.00157,9729.52,3348.47,9774,8657,10612
0.654,0.989485,0.0329591,0.994996,0.981434,1.00146,9590.37,3008.22,9696,8582,10520
0.657,0.989394,0.0329909,0.99494,0.981324,1.00167,9529.79,2762.49,9633,8529,10481
0.66,0.989237,0.0332873,0.994789,0.980781,1.00176,9526.94,3528.92,9560,8478,10436
0.663,0.989207,0.0334023,0.994789,0.980707,1.00176,9447.17,4099.51,9468,8356,10355
0.666,0.989045,0.033574,0.994789,0.980261,1.00181,9342.17,3267.24,9421,8315,10289
0.669,0.988678,0.0337638,0.994479,0.979961,1.00171,9179.08,2049.09,9365,8255,10205
0.672,0.988478,0.0340717,0.994444,0.979624,1.00171,9153,2661.78,9277,8174,10114
0.675,0.988926,0.0323356,0.994422,0.979788,1.00164,9286.99,5012.92,9214,8086,10049
0.678,0.988814,0.0335106,0.994191,0.97918,1.00164,8985.97,2416.64,9151,8023,9972
0.681,0.988908,0.0352,0.994182,0.979207,1.0019,8916.33,2322.41,9074,7962,9883
0.684,0.988902,0.0354653,0.994475,0.97909,1.00192,8853.18,2286.5,9005,7904,9845
0.687,0.988745,0.0355893,0.994222,0.979011,1.00192,8770.85,2424.9,8907,7880,9727
0.69,0.988519,0.035488,0.994072,0.97849,1.00178,8818.35,4911.18,8813,7799,9666
0.693,0.98947,0.0472007,0.994072,0.978505,1.00193,8662.1,2428.54,8756,7760,9623
0.696,0.98942,0.0478715,0.994005,0.978025,1.0022,8748.1,3954.72,8737,7710,9553
0.699,0.989275,0.0482782,0.993972,0.977709,1.00226,8740.64,4392.01,8650,7633,9463
0.702,0.989148,0.0485647,0.993878,0.977403,1.00233,8486.03,2513.93,8580,7565,9432
0.705,0.989316,0.0492327,0.993966,0.977284,1.00233,8361.62,1873.64,8506,7491,9363
